words	excess_joint	marginal_counts	joint_count	joint_image_ids	marginal_img_ids
('shirt', 'man')	0.13612191072194038	(910940.0, 946973.0)	692361.0	['1536805087', '512870243', '958001228', '593690092', '2406640920', '1500900588', '1859398790', '1976574749', '1078642425', '2002652407']	(['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('hair', 'shirt')	0.10434402388726476	(721599.0, 910940.0)	529379.0	['1932655550', '4267386314', '358591325', '2714326145', '1046767983', '3201177603', '1389372245', '3470130266', '2265295451', '125615485']	(['1221498669', '2661654479', '1793578496', '1567047206', '169771396', '177327555', '1821419767', '3393180414', '1119406516', '671329631'], ['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'])
('hair', 'woman')	0.10283986103358089	(721599.0, 672532.0)	465777.0	['1519379027', '1292513576', '1252511287', '2583010641', '241831391', '3477487323', '808970494', '3499615429', '386565544', '3794692421']	(['1221498669', '2661654479', '1793578496', '1567047206', '169771396', '177327555', '1821419767', '3393180414', '1119406516', '671329631'], ['193457226', '3641167725', '1995669695', '883707847', '2498226917', '1958102729', '973891951', '2942874601', '131302746', '1134300103'])
('woman', 'shirt')	0.08418283115389347	(672532.0, 910940.0)	455434.0	['2967100566', '1206051999', '1260704956', '2057756632', '2787243320', '4145194071', '1956698130', '876121380', '1997037740', '2666260868']	(['193457226', '3641167725', '1995669695', '883707847', '2498226917', '1958102729', '973891951', '2942874601', '131302746', '1134300103'], ['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'])
('hair', 'man')	0.07522175098581302	(721599.0, 946973.0)	453750.0	['2545685887', '22066598', '3435076879', '526840551', '3117718452', '3591054468', '3394416157', '3332644610', '2849783717', '1709050560']	(['1221498669', '2661654479', '1793578496', '1567047206', '169771396', '177327555', '1821419767', '3393180414', '1119406516', '671329631'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('people', 'man')	0.07063418005225128	(407226.0, 946973.0)	337924.0	['3460288151', '3964790251', '2792506748', '1715943770', '928014334', '274411700', '499064313', '1919980246', '1907198981', '3271383661']	(['1088874494', '287518212', '1816030717', '1101798217', '1185952829', '3638549078', '2736191517', '3584011270', '3033095727', '2275532791'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('jacket', 'man')	0.06557725303303058	(382715.0, 946973.0)	315245.0	['4081198799', '3815003605', '3502517715', '2259383802', '3163158534', '763265994', '1980218690', '3502413200', '3369908283', '3938516248']	(['2796351360', '208594894', '648192613', '3527249603', '3555090047', '56400720', '3240930969', '936450949', '4216788231', '1078493953'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('head', 'shirt')	0.0629159698010038	(646055.0, 910940.0)	385363.0	['1423484283', '4284190089', '795227504', '451036394', '3895791014', '594851565', '1503850656', '2269975330', '3972927141', '3197724019']	(['2501334800', '16571402', '2427467302', '1281081478', '2408544007', '2789100205', '134520607', '3033199929', '4225549936', '587113586'], ['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'])
('head', 'man')	0.06244037537782171	(646055.0, 946973.0)	391997.0	['3109644227', '1398639286', '1775292637', '1391481644', '3037959125', '3526681117', '2360413052', '4283853294', '1369668708', '3981285072']	(['2501334800', '16571402', '2427467302', '1281081478', '2408544007', '2789100205', '134520607', '3033199929', '4225549936', '587113586'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('pants', 'man')	0.06037448812080476	(337479.0, 946973.0)	285385.0	['3324014314', '1688838262', '1732458217', '2093092558', '1327620507', '1618950678', '1541054363', '3324707001', '2804602158', '2396338712']	(['3518200892', '2302279473', '136201545', '1808029030', '2484883026', '3933847652', '443604658', '3143377265', '2096252024', '1349929074'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('woman', 'man')	0.05908407976587095	(672532.0, 946973.0)	390882.0	['982252291', '3300898459', '3119108658', '2586941339', '2843120138', '4080741508', '2883217557', '3141434286', '383373598', '1177494416']	(['193457226', '3641167725', '1995669695', '883707847', '2498226917', '1958102729', '973891951', '2942874601', '131302746', '1134300103'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('window', 'building')	0.05722914132936724	(476342.0, 475028.0)	244123.0	['3031918965', '1929798295', '2419103842', '3692361986', '4093594945', '3830727050', '2730321071', '815723606', '2185197471', '656413370']	(['3117266530', '230132078', '2154954351', '3488779464', '229025788', '2256681756', '218745932', '2888158568', '3103994281', '1151415562'], ['2497199134', '1798448740', '1291529421', '2425248709', '3732918616', '827111251', '1593089865', '1285183855', '2538961774', '3530856275'])
('head', 'hair')	0.05555827875951284	(646055.0, 721599.0)	321876.0	['895294123', '3951636059', '1696316516', '3120344111', '3024525132', '2773130123', '2450386637', '427918847', '1977106813', '2623336726']	(['2501334800', '16571402', '2427467302', '1281081478', '2408544007', '2789100205', '134520607', '3033199929', '4225549936', '587113586'], ['1221498669', '2661654479', '1793578496', '1567047206', '169771396', '177327555', '1821419767', '3393180414', '1119406516', '671329631'])
('hand', 'shirt')	0.05489758237354171	(432962.0, 910940.0)	295239.0	['3215533474', '2903610891', '788971509', '3306962430', '4270518872', '951009053', '463926350', '2519652283', '740159393', '526252170']	(['678698069', '121970015', '1808983206', '2631084537', '990673126', '3319155863', '671073280', '3990957966', '2246188061', '231866083'], ['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'])
('people', 'person')	0.05483414448113495	(407226.0, 445361.0)	221703.0	['1881664279', '1333158624', '3790205886', '1940803312', '1229977588', '1486162572', '1529857360', '2263512039', '4214259512', '1791548735']	(['1088874494', '287518212', '1816030717', '1101798217', '1185952829', '3638549078', '2736191517', '3584011270', '3033095727', '2275532791'], ['3825700616', '867123342', '3827388079', '1508764705', '2463792477', '3883703672', '1337001544', '1734638245', '938290092', '2540828355'])
('hand', 'hair')	0.05371441696209705	(432962.0, 721599.0)	263577.0	['3360207477', '873996893', '3584171444', '2673183237', '445002900', '3315960316', '591540009', '2895074568', '408779846', '1257864758']	(['678698069', '121970015', '1808983206', '2631084537', '990673126', '3319155863', '671073280', '3990957966', '2246188061', '231866083'], ['1221498669', '2661654479', '1793578496', '1567047206', '169771396', '177327555', '1821419767', '3393180414', '1119406516', '671329631'])
('people', 'shirt')	0.053402584093612725	(407226.0, 910940.0)	282825.0	['3945573866', '3836024130', '3622157146', '172864923', '447073387', '1622964502', '2506344286', '1955707302', '3632229245', '2137219748']	(['1088874494', '287518212', '1816030717', '1101798217', '1185952829', '3638549078', '2736191517', '3584011270', '3033095727', '2275532791'], ['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'])
('people', 'woman')	0.051915048909606555	(407226.0, 672532.0)	245077.0	['2696274790', '1856044599', '1657962954', '1216788886', '1261964548', '2167424588', '226362958', '2832099971', '2850679675', '462857232']	(['1088874494', '287518212', '1816030717', '1101798217', '1185952829', '3638549078', '2736191517', '3584011270', '3033095727', '2275532791'], ['193457226', '3641167725', '1995669695', '883707847', '2498226917', '1958102729', '973891951', '2942874601', '131302746', '1134300103'])
('dress', 'woman')	0.05012608745871919	(219295.0, 672532.0)	196364.0	['3459463561', '3195106227', '3200063271', '1650409072', '4269976055', '3446268296', '1289910069', '3915565725', '2782373913', '262038990']	(['3618804480', '2227676167', '1327140112', '309880602', '2429783523', '2379586439', '1497631250', '2625800921', '4106552493', '163379014'], ['193457226', '3641167725', '1995669695', '883707847', '2498226917', '1958102729', '973891951', '2942874601', '131302746', '1134300103'])
('pants', 'shirt')	0.04951045283971381	(337479.0, 910940.0)	249645.0	['2582005864', '339936424', '1667110849', '2173557845', '3054783311', '4250552660', '511197901', '4077551869', '961216186', '1843023121']	(['3518200892', '2302279473', '136201545', '1808029030', '2484883026', '3933847652', '443604658', '3143377265', '2096252024', '1349929074'], ['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'])
('hand', 'man')	0.049324044977498316	(432962.0, 946973.0)	284423.0	['1828217608', '3682794632', '249209735', '897851530', '3230278913', '1340439602', '1290292467', '4059212680', '967429853', '2683199373']	(['678698069', '121970015', '1808983206', '2631084537', '990673126', '3319155863', '671073280', '3990957966', '2246188061', '231866083'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('tree', 'sky')	0.04811780018413667	(499275.0, 868365.0)	289028.0	['2861583534', '3860438233', '3413282401', '1670274706', '3857048008', '786719644', '413571056', '1729711177', '3479674441', '2025672953']	(['2974621479', '2282457561', '1240063343', '1434338400', '1685831236', '466822934', '1185668671', '4271357453', '3378884478', '3643689513'], ['1770566183', '4251095167', '3001913753', '2134773886', '3392325179', '401507533', '3659933809', '2585469069', '3026950454', '1095913618'])
('person', 'man')	0.045975036553228946	(445361.0, 946973.0)	278739.0	['2228462488', '473757629', '3359329012', '4078814496', '1832925913', '4263878751', '2261406023', '4086192233', '3389082201', '1917902973']	(['3825700616', '867123342', '3827388079', '1508764705', '2463792477', '3883703672', '1337001544', '1734638245', '938290092', '2540828355'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('wall', 'sky')	-0.04466067277320862	(930983.0, 868365.0)	148641.0	[]	(['2370658568', '1619865264', '3588664420', '169462542', '4011972976', '540146831', '1445474262', '1156954829', '3954310391', '26361468'], ['1770566183', '4251095167', '3001913753', '2134773886', '3392325179', '401507533', '3659933809', '2585469069', '3026950454', '1095913618'])
('water', 'sky')	0.04278799394220846	(326584.0, 868365.0)	221916.0	['1686808239', '444632828', '2018245151', '1054344569', '24823242', '3206160952', '2095102839', '3635162525', '592852300', '3164018173']	(['3977693573', '1073696965', '3938332540', '926051038', '681638674', '448399716', '3223384477', '166684538', '3393464319', '51553870'], ['1770566183', '4251095167', '3001913753', '2134773886', '3392325179', '401507533', '3659933809', '2585469069', '3026950454', '1095913618'])
('hat', 'man')	0.04069377873515042	(294237.0, 946973.0)	214126.0	['1282163084', '531713531', '1253667188', '2749433394', '271329123', '3103682709', '3342418420', '1362535820', '1491136781', '3517728679']	(['391741983', '289136004', '1537164346', '241701011', '4220240198', '558281887', '855322220', '416874267', '3934630122', '350238105'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('sky', 'shirt')	-0.040611726892718546	(868365.0, 910940.0)	154408.0	[]	(['1770566183', '4251095167', '3001913753', '2134773886', '3392325179', '401507533', '3659933809', '2585469069', '3026950454', '1095913618'], ['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'])
('building', 'sky')	0.04052250391074354	(475028.0, 868365.0)	259719.0	['521801239', '1736633307', '4146059850', '359644515', '1484849230', '98451251', '2706083837', '4266309367', '272057325', '1207263705']	(['2497199134', '1798448740', '1291529421', '2425248709', '3732918616', '827111251', '1593089865', '1285183855', '2538961774', '3530856275'], ['1770566183', '4251095167', '3001913753', '2134773886', '3392325179', '401507533', '3659933809', '2585469069', '3026950454', '1095913618'])
('jacket', 'woman')	0.040456670519644	(382715.0, 672532.0)	206122.0	['1222153558', '97373834', '322165113', '997739106', '4025363780', '2634365283', '3313140748', '2777016143', '395463984', '3872057858']	(['2796351360', '208594894', '648192613', '3527249603', '3555090047', '56400720', '3240930969', '936450949', '4216788231', '1078493953'], ['193457226', '3641167725', '1995669695', '883707847', '2498226917', '1958102729', '973891951', '2942874601', '131302746', '1134300103'])
('jacket', 'hair')	0.039807409449461	(382715.0, 721599.0)	210702.0	['673182487', '2199679633', '1405152777', '185470554', '2663417518', '3409096100', '1493569634', '953351533', '150785785', '1308549953']	(['2796351360', '208594894', '648192613', '3527249603', '3555090047', '56400720', '3240930969', '936450949', '4216788231', '1078493953'], ['1221498669', '2661654479', '1793578496', '1567047206', '169771396', '177327555', '1821419767', '3393180414', '1119406516', '671329631'])
('grass', 'field')	0.0397140983839453	(370589.0, 182386.0)	138616.0	['2965037237', '992841886', '2792848214', '2178812776', '268020117', '2104339515', '1788249635', '2889730596', '2803436815', '1173774039']	(['771848238', '481444994', '3051750641', '3048201988', '1084564602', '627066042', '83393280', '3837075779', '2649291093', '1890893164'], ['3562192657', '257403268', '2998272445', '1933693647', '2651571634', '841630480', '1758547022', '1863047758', '1121153139', '2233607830'])
('jacket', 'shirt')	0.038721469323215914	(382715.0, 910940.0)	232498.0	['284270364', '871280276', '3952399130', '50166521', '3260212500', '2048177479', '595266041', '1854887833', '2382343190', '2895773070']	(['2796351360', '208594894', '648192613', '3527249603', '3555090047', '56400720', '3240930969', '936450949', '4216788231', '1078493953'], ['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'])
('clouds', 'sky')	0.038707832796640196	(162300.0, 868365.0)	160947.0	['3232905616', '3915135749', '2002825724', '1282735463', '1333740611', '186559472', '3324590101', '2530808847', '2983656236', '3549996282']	(['3648850110', '3782370226', '3530976065', '4146482802', '1440246316', '3187016649', '3510853454', '2968677938', '3789105567', '1901525604'], ['1770566183', '4251095167', '3001913753', '2134773886', '3392325179', '401507533', '3659933809', '2585469069', '3026950454', '1095913618'])
('hair', 'sky')	-0.038619735037318643	(721599.0, 868365.0)	103583.0	[]	(['1221498669', '2661654479', '1793578496', '1567047206', '169771396', '177327555', '1821419767', '3393180414', '1119406516', '671329631'], ['1770566183', '4251095167', '3001913753', '2134773886', '3392325179', '401507533', '3659933809', '2585469069', '3026950454', '1095913618'])
('shoe', 'man')	0.03836315297670723	(261095.0, 946973.0)	196551.0	['3544645861', '3749602856', '3693816006', '470110323', '731451071', '152155955', '2054238920', '2374594824', '4238915771', '2734329479']	(['2206507008', '3769331201', '2394899913', '2903750211', '2441343396', '2406864288', '4253045657', '614267588', '2377815906', '3787053424'], ['2742789439', '671945693', '1690138837', '3403479524', '3818807122', '3414343304', '3175820067', '2458661771', '698069414', '48238066'])
('hand', 'head')	0.03804059133578849	(432962.0, 646055.0)	206793.0	['3586553821', '594245517', '210911771', '1867625787', '181782279', '4289654886', '3351199775', '1516593515', '3736266288', '1305618645']	(['678698069', '121970015', '1808983206', '2631084537', '990673126', '3319155863', '671073280', '3990957966', '2246188061', '231866083'], ['2501334800', '16571402', '2427467302', '1281081478', '2408544007', '2789100205', '134520607', '3033199929', '4225549936', '587113586'])
('eye', 'face')	0.037897372567160074	(225510.0, 331590.0)	135814.0	['7029367', '425924351', '731008461', '1477047897', '2935007684', '1941068320', '2548223729', '4080325877', '492992694', '3729287915']	(['4046436224', '1936841565', '242061669', '3399542627', '4237863998', '3148352313', '762285757', '3264872059', '1719945096', '394760511'], ['4047710903', '2223277511', '4157368952', '614661862', '4213271721', '3418694150', '3870676994', '2866971767', '2623627210', '3771749004'])
('eye', 'nose')	0.03652002109999651	(225510.0, 184322.0)	120379.0	['3185378188', '2541569110', '2919932273', '482175180', '720721851', '3847721573', '4086488954', '123311220', '3890624513', '2671045629']	(['4046436224', '1936841565', '242061669', '3399542627', '4237863998', '3148352313', '762285757', '3264872059', '1719945096', '394760511'], ['132645387', '740159393', '834756233', '2049547003', '2910997750', '2897302569', '2108098547', '1848784683', '3802196043', '519498501'])
('face', 'hair')	0.036388823797654256	(331590.0, 721599.0)	188071.0	['3290228456', '665633605', '3113470502', '2993763631', '772012175', '1426563017', '756764235', '4141989514', '1545128638', '2335108771']	(['4047710903', '2223277511', '4157368952', '614661862', '4213271721', '3418694150', '3870676994', '2866971767', '2623627210', '3771749004'], ['1221498669', '2661654479', '1793578496', '1567047206', '169771396', '177327555', '1821419767', '3393180414', '1119406516', '671329631'])
('wall', 'floor')	0.03624979605755678	(930983.0, 336168.0)	213040.0	['2471138443', '3120413362', '2419504925', '2206449538', '1043213494', '3314881351', '3783201326', '2483368885', '3589818021', '1107788356']	(['2370658568', '1619865264', '3588664420', '169462542', '4011972976', '540146831', '1445474262', '1156954829', '3954310391', '26361468'], ['2253132901', '407934068', '3186811899', '2329497885', '2478932120', '3750615649', '3981736162', '2036493013', '1184297745', '1815519879'])
('shoe', 'shirt')	0.03580364894029593	(261095.0, 910940.0)	185878.0	['2234503579', '2313131924', '400414516', '4264236124', '3652341374', '2096001173', '2809075193', '546498219', '2342674645', '1232369202']	(['2206507008', '3769331201', '2394899913', '2903750211', '2441343396', '2406864288', '4253045657', '614267588', '2377815906', '3787053424'], ['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'])
('ear', 'head')	0.03560178329810379	(212039.0, 646055.0)	150567.0	['2778688711', '1634641943', '2352445802', '3307344024', '772770399', '964074254', '4134225405', '2730653329', '3269150048', '3566985774']	(['60168192', '1047608119', '2816000057', '4218335255', '2007087714', '4094253365', '4172620404', '680083474', '1136455586', '1910401742'], ['2501334800', '16571402', '2427467302', '1281081478', '2408544007', '2789100205', '134520607', '3033199929', '4225549936', '587113586'])
('dress', 'hair')	0.03559798434104975	(219295.0, 721599.0)	157874.0	['3847234407', '1216667367', '2181534479', '1733147383', '2172289852', '3475048237', '576281062', '3067758338', '2931324731', '489411417']	(['3618804480', '2227676167', '1327140112', '309880602', '2429783523', '2379586439', '1497631250', '2625800921', '4106552493', '163379014'], ['1221498669', '2661654479', '1793578496', '1567047206', '169771396', '177327555', '1821419767', '3393180414', '1119406516', '671329631'])
('jacket', 'pants')	0.03524788339756577	(382715.0, 337479.0)	146843.0	['1252094800', '2190997096', '1040171497', '3336268422', '1190675275', '4292725022', '621620930', '1467975945', '2672773578', '1292612256']	(['2796351360', '208594894', '648192613', '3527249603', '3555090047', '56400720', '3240930969', '936450949', '4216788231', '1078493953'], ['3518200892', '2302279473', '136201545', '1808029030', '2484883026', '3933847652', '443604658', '3143377265', '2096252024', '1349929074'])
('shirt', 'shorts')	0.03498361500146307	(910940.0, 174407.0)	156307.0	['3636552554', '2090828719', '2738476630', '2889270121', '2305373493', '800295949', '3651805457', '2448393949', '1487105710', '1264542636']	(['3772346478', '4009480897', '1501402762', '2303308525', '2900264899', '1334366382', '1812405443', '153069892', '1358545875', '1159460191'], ['1103461183', '2964376273', '970066294', '2676363924', '2583472716', '2162569217', '3633748944', '2694435779', '1699443239', '2471176744'])
('hand', 'woman')	0.03485296532426068	(432962.0, 672532.0)	201482.0	['1910534828', '3211002949', '3603984350', '2860470672', '2810418305', '2193037904', '934717046', '3441518170', '2050397246', '590223480']	(['678698069', '121970015', '1808983206', '2631084537', '990673126', '3319155863', '671073280', '3990957966', '2246188061', '231866083'], ['193457226', '3641167725', '1995669695', '883707847', '2498226917', '1958102729', '973891951', '2942874601', '131302746', '1134300103'])
