words	excess_joint	marginal_counts	joint_count	joint_image_ids	marginal_img_ids
('tone', 'variation')	8.517393171418904	(1.0, 1.0)	1.0	['1876313565']	(['1876313565'], ['1876313565'])
('transversal', 'definition')	8.517393171418904	(1.0, 1.0)	1.0	['1927743844']	(['1927743844'], ['1927743844'])
('batteries', 'strait')	8.517393171418904	(1.0, 1.0)	1.0	['82069956']	(['82069956'], ['82069956'])
('bluff', 'strait')	8.517393171418904	(1.0, 1.0)	1.0	['82069956']	(['82069956'], ['82069956'])
('bluff', 'batteries')	8.517393171418904	(1.0, 1.0)	1.0	['82069956']	(['82069956'], ['82069956'])
('twenties', '1950s')	8.517393171418904	(1.0, 1.0)	1.0	['3927484278']	(['3927484278'], ['3927484278'])
('starting', 'pistol')	8.517393171418904	(1.0, 1.0)	1.0	['705411076']	(['705411076'], ['705411076'])
('limousine', 'crossroad')	8.517393171418904	(1.0, 1.0)	1.0	['1634778843']	(['1634778843'], ['1634778843'])
('smoking', 'cigarette')	8.517393171418904	(1.0, 1.0)	1.0	['147200174']	(['147200174'], ['147200174'])
('enforcement', 'law')	8.517393171418904	(1.0, 1.0)	1.0	['2473966227']	(['2473966227'], ['2473966227'])
('officials', 'law')	8.517393171418904	(1.0, 1.0)	1.0	['2473966227']	(['2473966227'], ['2473966227'])
('officials', 'enforcement')	8.517393171418904	(1.0, 1.0)	1.0	['2473966227']	(['2473966227'], ['2473966227'])
('architecture', 'contract')	8.517393171418904	(1.0, 1.0)	1.0	['1222792891']	(['1222792891'], ['1222792891'])
('satin', 'finish')	8.517393171418904	(1.0, 1.0)	1.0	['1425910259']	(['1425910259'], ['1425910259'])
('jumper', 'medals')	8.517393171418904	(1.0, 1.0)	1.0	['1551494981']	(['1551494981'], ['1551494981'])
('discovery', 'landscapes')	8.517393171418904	(1.0, 1.0)	1.0	['899924318']	(['899924318'], ['899924318'])
('voyage', 'landscapes')	8.517393171418904	(1.0, 1.0)	1.0	['899924318']	(['899924318'], ['899924318'])
('voyage', 'discovery')	8.517393171418904	(1.0, 1.0)	1.0	['899924318']	(['899924318'], ['899924318'])
('oak', 'drops')	8.517393171418904	(1.0, 1.0)	1.0	['3869834440']	(['3869834440'], ['3869834440'])
('devils', 'sideline')	8.517393171418904	(1.0, 1.0)	1.0	['1051009626']	(['1051009626'], ['1051009626'])
('pack', 'roads')	8.517393171418904	(1.0, 1.0)	1.0	['2951385612']	(['2951385612'], ['2951385612'])
('furnishings', 'appliances')	8.517393171418904	(1.0, 1.0)	1.0	['2091619249']	(['2091619249'], ['2091619249'])
('pens', 'journalists')	8.517393171418904	(1.0, 1.0)	1.0	['1473140366']	(['1473140366'], ['1473140366'])
('representation', 'depression')	8.517393171418904	(1.0, 1.0)	1.0	['3529026025']	(['3529026025'], ['3529026025'])
('anxiety', 'depression')	8.517393171418904	(1.0, 1.0)	1.0	['3529026025']	(['3529026025'], ['3529026025'])
('anxiety', 'representation')	8.517393171418904	(1.0, 1.0)	1.0	['3529026025']	(['3529026025'], ['3529026025'])
('shark', 'temperate')	8.517393171418904	(1.0, 1.0)	1.0	['2820913381']	(['2820913381'], ['2820913381'])
('potato', 'flavor')	8.517393171418904	(1.0, 1.0)	1.0	['3381486211']	(['3381486211'], ['3381486211'])
('mayo', 'flavor')	8.517393171418904	(1.0, 1.0)	1.0	['3381486211']	(['3381486211'], ['3381486211'])
('mayo', 'potato')	8.517393171418904	(1.0, 1.0)	1.0	['3381486211']	(['3381486211'], ['3381486211'])
('temperature', 'thermometer')	8.517393171418904	(1.0, 1.0)	1.0	['2748910835']	(['2748910835'], ['2748910835'])
('months', 'astronomers')	8.517393171418904	(1.0, 1.0)	1.0	['1619025194']	(['1619025194'], ['1619025194'])
('conjunction', 'astronomers')	8.517393171418904	(1.0, 1.0)	1.0	['1619025194']	(['1619025194'], ['1619025194'])
('conjunction', 'months')	8.517393171418904	(1.0, 1.0)	1.0	['1619025194']	(['1619025194'], ['1619025194'])
('jupiter', 'astronomers')	8.517393171418904	(1.0, 1.0)	1.0	['1619025194']	(['1619025194'], ['1619025194'])
