words	excess_joint	marginal_counts	joint_count	joint_image_ids	marginal_img_ids
('goal', 'yolk')	-inf	(1161.0, 663.0)	0.0	[]	(['2016967530', '1552339845', '505659979', '3613221223', '162853092', '1395756501', '3490024236', '5371692', '2160738983', '2428401408'], ['3336491371', '3211673346', '738919290', '1233855006', '4217331912', '1884059108', '2338000084', '3966811162', '227279966', '2389472990'])
('bathroom', 'yolk')	-inf	(12721.0, 663.0)	0.0	[]	(['446890288', '1921023755', '2146381438', '1590168034', '407222873', '757773678', '4134171649', '1335675048', '4158648785', '3577436251'], ['3336491371', '3211673346', '738919290', '1233855006', '4217331912', '1884059108', '2338000084', '3966811162', '227279966', '2389472990'])
('bathroom', 'goal')	-inf	(12721.0, 1161.0)	0.0	[]	(['446890288', '1921023755', '2146381438', '1590168034', '407222873', '757773678', '4134171649', '1335675048', '4158648785', '3577436251'], ['2016967530', '1552339845', '505659979', '3613221223', '162853092', '1395756501', '3490024236', '5371692', '2160738983', '2428401408'])
('macaroni', 'yolk')	-inf	(145.0, 663.0)	0.0	[]	(['1655366318', '1965216370', '2661133525', '4002897517', '2141249540', '3974924256', '2496342253', '3987660860', '2752669428', '2600487680'], ['3336491371', '3211673346', '738919290', '1233855006', '4217331912', '1884059108', '2338000084', '3966811162', '227279966', '2389472990'])
('macaroni', 'goal')	-inf	(145.0, 1161.0)	0.0	[]	(['1655366318', '1965216370', '2661133525', '4002897517', '2141249540', '3974924256', '2496342253', '3987660860', '2752669428', '2600487680'], ['2016967530', '1552339845', '505659979', '3613221223', '162853092', '1395756501', '3490024236', '5371692', '2160738983', '2428401408'])
('macaroni', 'bathroom')	-inf	(145.0, 12721.0)	0.0	[]	(['1655366318', '1965216370', '2661133525', '4002897517', '2141249540', '3974924256', '2496342253', '3987660860', '2752669428', '2600487680'], ['446890288', '1921023755', '2146381438', '1590168034', '407222873', '757773678', '4134171649', '1335675048', '4158648785', '3577436251'])
('umpire', 'yolk')	-inf	(1107.0, 663.0)	0.0	[]	(['3238375424', '982932633', '228119391', '48109939', '40942978', '3758927912', '2899747844', '3602031082', '396444050', '2878842714'], ['3336491371', '3211673346', '738919290', '1233855006', '4217331912', '1884059108', '2338000084', '3966811162', '227279966', '2389472990'])
('umpire', 'bathroom')	-inf	(1107.0, 12721.0)	0.0	[]	(['3238375424', '982932633', '228119391', '48109939', '40942978', '3758927912', '2899747844', '3602031082', '396444050', '2878842714'], ['446890288', '1921023755', '2146381438', '1590168034', '407222873', '757773678', '4134171649', '1335675048', '4158648785', '3577436251'])
('umpire', 'macaroni')	-inf	(1107.0, 145.0)	0.0	[]	(['3238375424', '982932633', '228119391', '48109939', '40942978', '3758927912', '2899747844', '3602031082', '396444050', '2878842714'], ['1655366318', '1965216370', '2661133525', '4002897517', '2141249540', '3974924256', '2496342253', '3987660860', '2752669428', '2600487680'])
('toothpick', 'goal')	-inf	(562.0, 1161.0)	0.0	[]	(['2888820412', '1493514493', '844481958', '934422567', '1669175989', '2249137363', '3743604330', '3404634464', '2106879751', '353186209'], ['2016967530', '1552339845', '505659979', '3613221223', '162853092', '1395756501', '3490024236', '5371692', '2160738983', '2428401408'])
('toothpick', 'bathroom')	-inf	(562.0, 12721.0)	0.0	[]	(['2888820412', '1493514493', '844481958', '934422567', '1669175989', '2249137363', '3743604330', '3404634464', '2106879751', '353186209'], ['446890288', '1921023755', '2146381438', '1590168034', '407222873', '757773678', '4134171649', '1335675048', '4158648785', '3577436251'])
('toothpick', 'macaroni')	-inf	(562.0, 145.0)	0.0	[]	(['2888820412', '1493514493', '844481958', '934422567', '1669175989', '2249137363', '3743604330', '3404634464', '2106879751', '353186209'], ['1655366318', '1965216370', '2661133525', '4002897517', '2141249540', '3974924256', '2496342253', '3987660860', '2752669428', '2600487680'])
