words	excess_joint	marginal_counts	joint_count	joint_image_ids	marginal_img_ids
('control', 'remotes')	11.192843815761776	(5.0, 8.0)	1.0	['2213672833']	(['2213672833', '867211474', '3983475779', '2065077750', '2041574791'], ['2213672833', '3496843140', '2712978879', '1993720345', '2698506187', '1326104147', '3169528415', '3647763691'])
('toiletries', 'products')	10.633228027826354	(35.0, 2.0)	1.0	['2783915499']	(['1797882086', '249793767', '1278949630', '2914997910', '2071862685', '2992407204', '3809286709', '3308156306', '357679119', '3755980837'], ['2783915499', '4072055518'])
('trick', 'skater')	10.094231527093667	(2.0, 60.0)	1.0	['3777562205']	(['3777562205', '2079292582'], ['2199228024', '2426658615', '2772180086', '3099512336', '1317557517', '1165469703', '2402189147', '1796336106', '4294299284', '3777562205'])
('outfield', 'baseball game')	9.971522373101228	(37.0, 11.0)	3.0	['1638092902', '910127606', '2448485413']	(['678722332', '1872065954', '821211590', '2475951742', '3250330246', '662247664', '4130705074', '2895503276', '2448485413', '4045885953'], ['3667990770', '910127606', '1971059300', '2155437745', '1760995205', '1638092902', '2663968858', '2175007974', '3469005685', '3699758505'])
('jets', 'airplanes')	9.765727460121632	(20.0, 25.0)	3.0	['1350459084', '1072461517', '2899458729']	(['874104355', '1789239269', '150674947', '3284803662', '2696431618', '3277233653', '227933882', '840084129', '1350459084', '295153507'], ['1005927872', '1350459084', '752021662', '817221270', '963890522', '1072461517', '200386983', '874709746', '2165425511', '2899458729'])
('trick', 'skateboarder')	9.506444862191548	(2.0, 108.0)	1.0	['2079292582']	(['3777562205', '2079292582'], ['2976101269', '1046697116', '1981441419', '2497973458', '658874636', '1266323712', '2549373438', '3387540720', '771693932', '3062671646'])
('outfield', "pitcher's mound")	9.373685372345607	(37.0, 20.0)	3.0	['2426020710', '3057879621', '812560375']	(['678722332', '1872065954', '821211590', '2475951742', '3250330246', '662247664', '4130705074', '2895503276', '2448485413', '4045885953'], ['857657701', '735386062', '2457905228', '787513702', '2673302998', '1619351202', '2206676890', '625907143', '2178896350', '2665236046'])
('beef', 'beverage')	9.11340227408194	(20.0, 16.0)	1.0	['2893398714']	(['3287900640', '2895325532', '999350205', '669500596', '4222078545', '2448791264', '4105072649', '3703884186', '2048360321', '3052656777'], ['3287804289', '1772127418', '2893398714', '1440095974', '1389840997', '1666216075', '3014326200', '2847866371', '2004379141', '290863047'])
('stoplight', 'signal')	8.981825916293221	(5.0, 219.0)	3.0	['3828949817', '1400402332', '2404916924']	(['632268161', '3828949817', '1400402332', '838397307', '2404916924'], ['3418849538', '2811440756', '3207721772', '3615948278', '1549521649', '3104240258', '2391254986', '2561045482', '3828949817', '3114214864'])
('baseball player', "pitcher's mound")	8.890258722767731	(20.0, 20.0)	1.0	['2665236046']	(['906068477', '1075699709', '2992349936', '2186096456', '2665236046', '3989648691', '3194954581', '1351451869', '1832858508', '3948858872'], ['857657701', '735386062', '2457905228', '787513702', '2673302998', '1619351202', '2206676890', '625907143', '2178896350', '2665236046'])
